regime_encoded,volatility_encoded,conviction_score,impulse,follow_through,confidence,style_encoded,setup_encoded,session_encoded,setup_raw_avg_R,regime_raw_avg_R,ml_probability,predicted_won,won

3,3,2,1.6147058823529439,0.5,0.5,1,2,1,0,0,0.5,1,0
2,3,4,0.8300395256916623,1.0,0.5,1,3,1,0,0,0.5,1,0
2,3,2,1.07185273159141,0.5,0.5,2,1,1,0,0,0.5,1,1
2,3,4,1.2039350405996232,0.75,0.5,1,1,1,0,0,0.5,1,1
2,3,4,1.216914138153632,0.75,0.5,1,1,1,0,0,0.5,1,0
2,3,4,1.1909292737075263,0.75,0.5,1,1,1,0,0,0.5,1,0
3,3,6,1.9909729187563,1.0,0.5,2,2,1,0,0,0.5,1,0
2,3,4,0.8494088363410464,0.75,0.5,1,1,1,0,0,0.5,1,1
2,3,2,0.8107667210440789,0.5,0.5,1,1,1,0,0,0.5,1,0
1,3,4,1.323754789272051,0.75,0.5,2,2,1,0,0,0.5,1,0
2,3,4,0.7630522088353023,0.75,0.5,1,3,1,0,0,0.5,1,1
2,3,4,0.8132641719155846,1.0,0.5,1,1,1,0,0,0.5,1,0
2,3,2,1.07185273159141,0.5,0.5,3,1,1,0,0,0.5,1,1
2,3,4,1.149825783972129,0.75,0.5,1,1,1,0,0,0.5,1,1
2,3,4,0.7945306725794816,1.0,0.5,1,1,2,0,0,0.5,1,0
3,3,2,1.6147058823529439,0.5,0.5,3,2,1,0,0,0.5,1,0
2,3,2,0.9255319148936365,0.25,0.5,2,2,1,0,0,0.5,1,0
2,3,4,0.9726195341234419,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,4,0.7665345931118825,0.75,0.5,2,1,1,0,0,0.5,1,0
2,3,4,0.9092881944444399,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,4,0.580840918942249,1.0,0.5,1,1,2,0,0,0.5,1,0
2,3,4,0.8887043189369046,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.9153805215540234,0.75,0.5,1,2,2,0,0,0.5,1,1
2,3,2,0.8287757677745499,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.9519464720194948,0.75,0.5,2,3,2,0,0,0.5,1,1
2,3,4,0.7594936708859745,1.0,0.5,1,3,2,0,0,0.5,1,1
2,3,2,0.7498362802881245,0.5,0.5,1,1,2,0,0,0.5,1,1
2,3,4,1.401617250673847,1.0,0.5,1,3,2,0,0,0.5,1,0
2,3,4,1.5285326086956257,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,2,0.8643388666285645,0.5,0.5,2,3,2,0,0,0.5,1,0
2,3,4,1.401617250673847,1.0,0.5,2,3,2,0,0,0.5,1,1
2,3,4,1.5285326086956257,0.75,0.5,2,3,2,0,0,0.5,1,1
2,3,4,0.8887043189369046,0.75,0.5,3,1,2,0,0,0.5,1,0
2,3,4,0.8167177914110799,0.75,0.5,3,1,2,0,0,0.5,1,0
2,3,4,1.1128428927681333,0.75,0.5,2,1,2,0,0,0.5,1,0
2,3,4,1.3253364540667176,1.0,0.5,1,3,2,0,0,0.5,1,1
2,3,4,1.2028169014083994,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,1.0708446866484709,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,1.0907127429804993,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.9654255319148178,0.75,0.5,1,3,2,0,0,0.5,1,1
2,3,4,1.3253364540667176,1.0,0.5,2,3,2,0,0,0.5,1,0
2,3,4,0.7106598984770537,1.0,0.5,1,3,2,0,0,0.5,1,0
2,3,4,1.2028169014083994,0.75,0.5,2,3,2,0,0,0.5,1,0
1,3,4,0.7826747720363685,1.0,0.5,1,3,2,0,0,0.5,1,0
1,3,4,0.7826747720363685,1.0,0.5,2,3,2,0,0,0.5,1,1
2,3,4,0.9029579657497956,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,2,0.9913258983891738,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,4,0.7113295395758337,0.75,0.5,1,3,2,0,0,0.5,1,0
2,3,4,0.6630824372760433,0.75,0.5,1,1,2,0,0,0.5,1,0
2,3,4,0.7106598984770537,1.0,0.5,2,1,2,0,0,0.5,1,0
2,3,2,0.6386651323360792,0.5,0.5,2,1,2,0,0,0.5,1,0
2,3,2,1.5259740259741055,0.5,0.5,3,2,2,0,0,0.5,1,0
2,3,4,1.144092219020222,1.0,0.5,3,1,2,0,0,0.5,1,1
2,2,4,1.0206995003569175,0.75,0.5,2,1,2,0,0,0.5,1,1
2,2,2,1.0560181680542609,0.5,0.5,2,1,2,0,0,0.5,1,0
2,2,4,1.1541598694942545,0.75,0.5,2,1,2,0,0,0.5,1,0
2,2,4,0.7524671052632587,0.75,0.5,2,1,2,0,0,0.5,1,0
2,2,4,0.7524671052632587,0.75,0.5,2,1,2,0,0,0.5,1,0
2,2,4,0.8958837772396968,0.75,0.5,1,1,2,0,0,0.5,1,0
2,2,4,0.9156626506025407,0.75,0.5,1,1,2,0,0,0.5,1,0
2,2,4,1.1007957559682295,1.0,0.5,1,1,2,0,0,0.5,1,0
2,2,2,0.7002938295787149,0.5,0.5,2,1,2,0,0,0.5,1,0
