timestamp,open,high,low,close,volume
2026-02-20 09:26:00,600.4,600.4,600.4,600.4,201.0
2026-02-20 09:30:00,682.23,682.6,681.865,682.01,2346.0
2026-02-20 09:31:00,681.96,682.385,681.96,682.28,1725.0
2026-02-20 09:32:00,682.26,682.94,682.25,682.8,1824.0
2026-02-20 09:33:00,682.88,683.405,682.84,683.31,1737.0
2026-02-20 09:34:00,683.155,683.45,683.02,683.35,2632.0
2026-02-20 09:35:00,683.15,684.03,683.15,684.0,2432.0
2026-02-20 09:36:00,603.45,603.97,603.2,603.81,2285.0
2026-02-20 09:37:00,684.02,684.49,683.74,683.75,8119.0
2026-02-20 09:38:00,683.84,684.08,683.6,683.78,3054.0
2026-02-20 09:39:00,683.97,683.97,683.35,683.59,4805.0
2026-02-20 09:40:00,683.885,684.33,683.81,683.94,2882.0
2026-02-20 09:41:00,683.97,683.97,683.6,683.74,3318.0
2026-02-20 09:42:00,684.0,685.35,684.0,685.055,9657.0
2026-02-20 09:43:00,605.21,605.21,604.85,604.85,2349.0
2026-02-20 09:44:00,604.82,605.01,604.75,605.01,1724.0
2026-02-20 09:45:00,684.8,684.82,684.59,684.67,4169.0
2026-02-20 09:46:00,684.69,685.06,684.59,684.98,2439.0
2026-02-20 09:47:00,684.84,685.13,684.47,684.51,2013.0
2026-02-20 09:48:00,684.48,684.71,684.26,684.26,2429.0
2026-02-20 09:49:00,684.215,684.43,684.01,684.07,2396.0
2026-02-20 09:50:00,684.26,684.26,683.7,684.06,2958.0
2026-02-20 09:51:00,604.06,604.12,603.5,603.53,2436.0
2026-02-20 09:52:00,683.71,683.91,683.66,683.66,1593.0
2026-02-20 09:53:00,683.65,684.4,683.65,684.18,4156.0
2026-02-20 09:54:00,684.12,684.12,683.8,684.055,2408.0
2026-02-20 09:55:00,684.08,684.27,683.9,684.27,1449.0
2026-02-20 09:56:00,684.32,684.36,683.97,684.13,5853.0
2026-02-20 09:57:00,684.15,684.34,683.93,684.31,5910.0
2026-02-20 09:58:00,684.31,684.55,684.24,684.545,4376.0
2026-02-20 09:59:00,604.045,604.71,603.915,604.43,3981.0
2026-02-20 10:00:00,684.89,685.565,684.83,685.565,6062.0
2026-02-20 10:01:00,685.55,689.265,685.3,688.97,32895.0
2026-02-20 10:02:00,689.13,689.32,687.2,687.605,21892.0
2026-02-20 10:03:00,687.61,687.63,686.32,686.6,8720.0
2026-02-20 10:04:00,686.76,687.38,686.7,686.7,2704.0
2026-02-20 10:05:00,686.85,686.87,685.29,685.46,8739.0
2026-02-20 10:06:00,604.52,605.125,603.65,603.84,4286.0
2026-02-20 10:07:00,684.9,685.71,684.74,685.54,10628.0
2026-02-20 10:08:00,685.38,687.11,685.365,687.065,5610.0
2026-02-20 10:09:00,687.06,687.1,686.7,687.1,7271.0
2026-02-20 10:10:00,687.035,687.925,686.965,687.84,7069.0
2026-02-20 10:11:00,687.89,687.89,686.95,686.95,7480.0
2026-02-20 10:12:00,686.83,686.95,686.45,686.94,4637.0
2026-02-20 10:13:00,606.38,606.38,605.63,605.63,1404.0
2026-02-20 10:14:00,605.49,605.74,605.23,605.23,1483.0
2026-02-20 10:15:00,685.41,685.69,685.09,685.32,5697.0
2026-02-20 10:16:00,685.28,685.28,684.24,684.36,13475.0
2026-02-20 10:17:00,684.54,686.47,684.54,686.46,7070.0
2026-02-20 10:18:00,686.45,687.18,686.15,687.18,6406.0
2026-02-20 10:19:00,687.25,687.25,686.46,686.6,1763.0
2026-02-20 10:20:00,686.85,686.89,686.44,686.44,2703.0
2026-02-20 10:21:00,606.23,607.4,606.23,607.33,2867.0
2026-02-20 10:22:00,687.35,687.88,687.35,687.77,1566.0
2026-02-20 10:23:00,687.75,687.9,687.34,687.9,1940.0
2026-02-20 10:24:00,687.82,687.97,687.08,687.37,3041.0
2026-02-20 10:25:00,687.34,687.34,686.93,687.115,2692.0
2026-02-20 10:26:00,687.33,688.07,687.16,688.03,3407.0
2026-02-20 10:27:00,688.03,688.03,687.49,687.57,1591.0
2026-02-20 10:28:00,687.42,687.42,686.7,687.01,6034.0
2026-02-20 10:29:00,686.94,687.07,686.41,686.78,5288.0
2026-02-20 10:30:00,606.45,606.825,605.92,606.09,712.0
2026-02-20 10:31:00,686.68,687.31,686.63,687.11,1942.0
2026-02-20 10:32:00,687.15,687.15,686.24,686.33,3520.0
2026-02-20 10:33:00,685.9,686.19,685.64,685.79,3728.0
2026-02-20 10:34:00,685.73,686.44,685.73,686.1,2999.0
2026-02-20 10:35:00,686.14,686.3,685.71,685.77,5634.0
2026-02-20 10:36:00,685.95,686.665,685.69,686.66,3806.0
2026-02-20 10:37:00,606.58,606.84,606.275,606.755,842.0
2026-02-20 10:38:00,686.98,687.01,686.8,686.925,1853.0
2026-02-20 10:39:00,686.92,687.42,686.92,687.29,2737.0
2026-02-20 10:40:00,687.0,687.0,686.375,686.39,2357.0
2026-02-20 10:41:00,686.14,687.27,686.14,687.23,2205.0
2026-02-20 10:42:00,687.09,687.25,686.75,687.23,1687.0
2026-02-20 10:43:00,687.25,688.0,687.12,687.95,2447.0
2026-02-20 10:44:00,687.89,688.17,687.77,688.13,3547.0
2026-02-20 10:45:00,608.5,608.58,608.31,608.31,1041.0
2026-02-20 10:46:00,687.98,687.98,687.39,687.47,2950.0
2026-02-20 10:47:00,687.48,688.18,687.48,688.03,3327.0
2026-02-20 10:48:00,688.02,688.52,687.82,688.42,2712.0
2026-02-20 10:49:00,688.41,688.7,688.13,688.13,3260.0
2026-02-20 10:50:00,688.17,688.24,687.62,688.0,3511.0
2026-02-20 10:51:00,687.97,688.18,687.91,688.14,3804.0
2026-02-20 10:52:00,609.01,609.52,609.01,609.34,2481.0
2026-02-20 10:53:00,609.57,609.77,609.19,609.72,2172.0
2026-02-20 10:54:00,688.93,688.98,688.63,688.75,4696.0
2026-02-20 10:55:00,688.89,689.145,688.89,688.91,9861.0
2026-02-20 10:56:00,689.04,689.06,688.66,688.99,4109.0
2026-02-20 10:57:00,688.9,688.94,688.68,688.76,1619.0
2026-02-20 10:58:00,688.75,688.87,688.5,688.74,7009.0
2026-02-20 10:59:00,688.86,689.0,688.79,688.82,4001.0
2026-02-20 11:00:00,609.87,609.87,609.51,609.51,1857.0
2026-02-20 11:01:00,609.55,609.86,609.55,609.85,1540.0
